Outcome Measure ID,Drug Group,Animal,Sex,Type of Ischaemia,Anaesthetic ID,Method of Induction of Injury,Method of Quantification of Injury,Ventiliation,Route of Drug Delivery,Comorbidity,Cotreatment in both Groups,Cotreatment in Treatment Group Only,Peer Review Publication,Control of Temperature,Monitoring of Physiological Variables,Random Allocation to Group,Blinded Induction of Ischaemia,Blinded Assessment of Outcome,Anaesthetic without marked intrinsic neuroprotective activity,Use of Comorbid Animals,Sample Size Calculation,Compliance with Animal Welfare Regulations,Statement of Potential Conflicts of Interest,Time of Administration (mins),Time of Assessment (hrs),yi,si,yi.smd,si.smd
22325,Stem Cells,Rat,Both,Temporary,47,17,2,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4440,1178,28.97196262,39.9951958,0.413805656,0.643528018
22326,Stem Cells,Rat,Both,Temporary,47,17,2,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4440,842,29.72972973,36.2025993,0.469113078,0.646650872
22327,Stem Cells,Rat,Both,Temporary,47,17,2,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4440,506,48.98648649,17.25422213,1.621837133,0.785510055
22328,Stem Cells,Rat,Both,Temporary,47,17,2,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4440,338,72.93233083,5.709931067,8.690253195,3.347657671
22329,Stem Cells,Rat,Both,Temporary,47,17,2,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4440,170,15.75342466,7.974543012,1.128484267,0.710684415
22330,Stem Cells,Rat,Male,Temporary,1,17,34,Mechanical,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-10080,24,0,212.1320344,0,0.474341649
22334,Antidepressant,Rat,Male,Permanent,6,17,6,Unknown,IPeritoneal,11,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1440,672,-25.73964497,4.024103701,-3.408871691,1.026743495
22336,Stem Cells,Rat,Male,Temporary,2,17,2,Spontaneous,ICerebVentricular,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,336,-5.761316872,15.14269094,-0.210335979,0.608111748
22337,Stem Cells,Rat,Male,Temporary,2,17,2,Spontaneous,ICerebVentricular,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,336,36.9813278,16.31393329,1.203827716,0.685055699
22338,Stem Cells,Rat,Male,Temporary,2,17,2,Spontaneous,ICerebVentricular,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,336,26.70349908,17.53412404,0.810834847,0.642828519
22339,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,360,-5.568445476,18.06640037,-0.154235071,0.535627309
22340,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,360,10.09908537,6.040143015,0.836672737,0.566133019
22341,Stem Cells,Rat,Male,Temporary,1,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,360,-64.51612903,29.17971036,-1.106389693,0.588688504
22342,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,336,13.47569956,10.08421795,2.080017709,1.133100989
22343,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,360,-12.58823529,32.80327277,-0.322558306,0.906053049
22345,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,336,9.42562592,10.23196946,1.151358292,0.97717835
22346,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,360,0,32.3662514,0,0.899735411
22347,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,336,11.26656848,11.1138229,0.752637866,0.933614516
22348,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,360,-0.823529412,34.72606354,-0.016130706,0.899751266
22349,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,336,12.73932253,11.1138229,0.851021901,0.942833973
22350,Stem Cells,Rat,Male,Temporary,5,17,4,Unknown,Stereotactic,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,999999,360,-7.529411765,32.31810704,-0.212165716,0.902474148
22351,Stem Cells,Rat,Male,Temporary,1,17,1,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,10080,1008,55.33980583,24.03770564,1.152034313,0.593024163
22352,Stem Cells,Rat,Male,Permanent,2,17,4,Mechanical,IVenous,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,360,168,22.30982135,3.811509586,2.929003379,0.843865485
22353,Stem Cells,Rat,Male,Permanent,2,17,4,Mechanical,IVenous,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,360,168,6.027596224,1.104525302,2.730796136,0.810156054
22354,Stem Cells,Rat,Male,Permanent,2,17,4,Mechanical,IVenous,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,360,168,-45.61634806,2.683686798,-8.505688629,1.970146356
22356,Stem Cells,Rat,Female,Permanent,5,17,1,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,180,672,28.36681789,3.987036271,3.791732582,1.106897204
22357,Stem Cells,Rat,Female,Permanent,5,17,1,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,180,672,29.74683544,60.34893928,0.262692937,0.581045782
22358,Stem Cells,Rat,Female,Permanent,5,17,1,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,180,168,25.58934406,3.112021262,4.38221685,1.234762157
22359,Stem Cells,Rat,Female,Permanent,5,17,1,Spontaneous,IVenous,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,180,744,-13.6194933,2.684590263,-3.11939306,1.303208104
22360,Stem Cells,Rat,Male,Temporary,1,17,1,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,504,28.10725552,11.09790657,1.446784044,0.756772724
22361,Stem Cells,Rat,Male,Temporary,1,17,1,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1440,504,36.14262561,5.456242538,3.530232414,1.051876329
22362,Stem Cells,Rat,Male,Temporary,5,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4320,1344,72.36842105,17.30432001,1.976993392,0.641906587
22363,Stem Cells,Rat,Male,Temporary,5,17,4,Spontaneous,Stereotactic,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4320,1344,60,6.519202405,4.350783209,1.017249946
